title,role,date,authors,price,downloads,revenue
"Key Leverage Points In Applications Outsourcing Negotiations","Sourcing & Vendor Management",7989521.039588928,"[ ""William Martorelli"", ""Chris Andrews"" ]","499","114",56886.0
"Predictions For 2014: Technology Monitoring","Infrastructure & Operations",7989521.766577959,"[ ""John Rakowski"", ""Jean-Pierre Garbani"", ""Eveline Oehrlich"" ]","499","265",132235.0
"Introducing The Global Retail Segmentation","eBusiness & Channel Strategy",8421522.88021493,"[ ""Martin Gill"", ""Zia Daniell Wigder"", ""Patti Freeman Evans"" ]","499","328",163672.0
"The Forrester Wave™: SAP Services Providers, Q1 2014","Sourcing & Vendor Management",8421524.64102006,"[ ""Liz Herbert"", ""Chris Andrews"" ]","2495","409",1020455.0
"The State Of Consumers And Technology: Benchmark 2013, US","Marketing Leadership",8421525.724397898,"[ ""Gina Fleming"", ""Reineke Reitsma"", ""Ryan Morrill"" ]",,"179",
"Building A Digital Travel Business","eBusiness & Channel Strategy",8421526.548549891,"[ ""Martin Gill"", ""Patti Freeman Evans"" ]","499","279",139221.0
"2013 UK Bank Secure Website Rankings","eBusiness & Channel Strategy",8421527.173202991,"[ ""Stephen Walker"", ""Benjamin Ensor"", ""Peter Wannemacher"", ""Rachel Roizen"" ]","499","148",73852.0
"Managed Mobile Workplace Services In Europe","Sourcing & Vendor Management",8507927.714879036,"[ ""Henning Dransfeld"", ""Dan Bieler"", ""Chris Andrews"" ]","2495","149",371755.0
"Best Practices For Optimizing Your Migration To A Cloud Collaboration Solution","CIO",8507928.436554909,"[ ""TJ Keitt"", ""Khalid Kark"" ]","499","270",134730.0
"Key Building Blocks For Financial Risk Management In Banking","Application Development & Delivery",8507929.112416983,"[ ""Jost Hoppermann"", ""Holger Kisker, Ph.D."" ]","499","163",81337.0
"Assemble A Strong Cross-Functional Team To Achieve ECM Program Excellence","Enterprise Architecture",8507929.640140057,"[ ""Cheryl McKinnon"", ""Leslie Owens"" ]","499","477",238023.0
"How To Solve The CX Technology Puzzle","Customer Experience",8594330.369478941,"[ ""Joana van den Brink-Quintanilha"", ""John Dalton"" ]","499","324",161676.0
"Are You Ready For SharePoint's Big Pivot?","Application Development & Delivery",8594331.354015112,"[ ""John R. Rymer"", ""Rob Koplowitz"", ""Leslie Owens"", ""Andras Cser"", ""Eve Maler"" ]","499","253",126247.0
"The Social Technographics® Intensity Matrix Drives Tactical Success","Marketing Leadership",8594332.221662045,"[ ""Nate Elliott"", ""Roxana Strohmenger"", ""Reineke Reitsma"", ""Melissa Parrish"", ""Ryan Morrill"" ]","499","214",106786.0
"The Forrester Wave™: Governance, Risk, And Compliance Platforms, Q1 2014","Security & Risk",8594332.802532911,"[ ""Christopher McClean"", ""Nick Hayes"", ""Renee Murphy"", ""Stephanie Balaouras"", ""Kelley Mak"" ]","2495","511",1274945.0
"The Forrester Wave™: Service Virtualization And Testing Solutions, Q1 2014","Application Development & Delivery",8594333.416276932,"[ ""Diego Lo Giudice"", ""Mike Gualtieri"", ""Jeffrey S. Hammond"", ""Rowan Curran"" ]","2495","358",893210.0
"Microsoft Aims SharePoint To The Cloud","CIO",8594334.028297901,"[ ""Rob Koplowitz"", ""John R. Rymer"", ""Cheryl McKinnon"", ""Leslie Owens"", ""Andras Cser"" ]","499","277",138223.0
"Re-Engineer Your Business For Mobile Moments","CIO",8853534.663120031,"[ ""Ted Schadler"", ""Josh Bernoff"", ""Julie A. Ask"", ""Khalid Kark"" ]","499","358",178642.0
"Mobile Moments Transform Customer Experience","Customer Experience",8853535.256733894,"[ ""Josh Bernoff"", ""Julie A. Ask"", ""Ted Schadler"", ""Ron Rogowski"", ""John Dalton"" ]","499","715",356785.0
"Market Overview: Digital Asset Management, 2014","Application Development & Delivery",6175135.82071209,"[ ""Anjali Yakkundi"", ""Stephen Powers"" ]","2495","341",850795.0
"Emerging Markets Overview: Indonesia","Customer Insights",8853536.276247025,"[ ""Reineke Reitsma"", ""Ryan Morrill"", ""Anjali Lai"" ]",,"21",
"Predictions For 2014: Private Cloud Management And Infrastructure","Infrastructure & Operations",8853536.842060089,"[ ""Lauren E. Nelson"", ""Richard Fichera"", ""Laura Koetzle"", ""Christopher Voce"" ]","499","570",284430.0
"Buyer Role Profile: Data Center Manager","Sales Enablement",8853537.507586002,"[ ""Norbert Kriebel"", ""Scott Santucci"" ]","499","101",50399.0
"Established Media Brands Fend Off Social Newcomers To Top TRUE Brand Rankings","CMO",8939938.414892912,"[ ""Tracy Stokes"", ""David M. Cooperstein"", ""Roxana Strohmenger"" ]","499","127",63373.0
"The Enterprise Mobility Outlook For Asia Pacific In 2014","Infrastructure & Operations",8939939.073815107,"[ ""Katyayan Gupta"", ""Michael Barnes"", ""Bryan Wang"" ]","499","159",79341.0
"Quick Take: VMware Acquires AirWatch To Re-Energize Its Mobile Security Strategy","Security & Risk",8939939.451107025,"[ ""Tyler Shields"", ""Christian Kane"", ""Stephanie Balaouras"", ""Kelley Mak"" ]","199","116",23084.0
"Quick Take: VMware Acquires AirWatch To Solidify Its Mobile Strategy","Infrastructure & Operations",8939939.803287029,"[ ""Christian Kane"", ""Tyler Shields"", ""J. P. Gownder"", ""Christopher Voce"" ]","199","118",23482.0
"Software Must Enrich Your Brand","CIO",7298340.387775898,"[ ""John C. McCarthy"", ""Pascal Matzke"", ""Ted Schadler"", ""Tracy Stokes"" ]","499","218",108782.0
"The Age Of The Customer Changes Everything For AD&D Leaders","Application Development & Delivery",8939942.086472988,"[ ""Phil Murphy"", ""John R. Rymer"", ""Paul D. Hamerman"", ""Christopher Mines"" ]",,"226",
"Predictions 2014: US Retail eBusiness","eBusiness & Channel Strategy",8939943.147623062,"[ ""Sucharita Mulpuru"", ""Carrie Johnson"" ]","499","469",234031.0
"Predictions 2014: Government Customer Experience","Customer Experience",9026343.92957592,"[ ""Rick Parrish"", ""John Dalton"", ""Harley Manning"" ]","499","178",88822.0
"Start To Build Your Ultimate Customer Relationship","CMO",9026344.721133947,"[ ""James L. McQuivey, Ph.D."", ""David M. Cooperstein"" ]","499","346",172654.0
"The Age Of The Customer Requires A More Intelligent Enterprise","Customer Insights",9026345.374119997,"[ ""Jody Sarno"", ""Carlton A. Doty"" ]","499","339",169161.0
"The Forrester Wave™: Enterprise Listening Platforms, Q1 2014","Customer Insights",9026346.089622021,"[ ""Allison Smith"", ""Shar VanBoskirk"" ]","2495","472",1177640.0
"Case Study: India's BLP Sources Long-Term Business Innovation","Sourcing & Vendor Management",9026346.724015951,"[ ""Frederic Giron"", ""Dane Anderson"" ]","499","55",27445.0
"The Customer Experience Index, 2014","Customer Experience",9112747.373801947,"[ ""Megan Burns"", ""Harley Manning"" ]","499","1320",658680.0
"Chaotic Or Innovative? Discover Your Customer Data Management Maturity","Application Development & Delivery",9112748.074536085,"[ ""Charles Green"", ""Mike Gualtieri"", ""Holger Kisker, Ph.D."" ]","499","171",85329.0
"Customer Experience Maturity Defined","Customer Experience",9112748.664860964,"[ ""Megan Burns"", ""Harley Manning"", ""John Dalton"" ]","499","3256",1624744.0
"Meet Customer Needs And Business Objectives With A Mobile Banking Road Map","eBusiness & Channel Strategy",9112749.237344027,"[ ""Peter Wannemacher"", ""Carrie Johnson"", ""Benjamin Ensor"", ""Ellen Carney"" ]","499","320",159680.0
"The Forrester Wave™: North American Applications Outsourcing Services, Q1 2014","Sourcing & Vendor Management",9112750.800676107,"[ ""William Martorelli"", ""Chris Andrews"" ]","2495","414",1032930.0
"The Forrester Wave™: Lead-To-Revenue Management Platform Vendors, Q1 2014","Customer Insights",9112751.456645966,"[ ""Lori Wizdo"", ""Peter O'Neill"", ""Sheryl Pattek"", ""Laura Ramos"" ]","2495","440",1097800.0
"Focus B2B Marketing Budget Gains On Business Outcomes To Succeed In 2014","CMO",9112752.051203966,"[ ""Laura Ramos"", ""David M. Cooperstein"", ""Tracy Stokes"" ]","499","293",146207.0
"The Forrester Wave™: Disaster-Recovery-As-A-Service Providers, Q1 2014","Infrastructure & Operations",7903153.817872047,"[ ""Stephanie Balaouras"" ]","2495","359",895705.0
"What The European CEO Needs From The CIO In 2014","CIO",9458354.417619944,"[ ""Alastair Behenna"", ""Pascal Matzke"", ""Khalid Kark"", ""Andrew Smith"" ]","499","225",112275.0
"Quick Take: Google's Smart Contact Lens Project","Infrastructure & Operations",9458354.938174963,"[ ""J. P. Gownder"", ""Christopher Voce"", ""Skip Snow"" ]","199","116",23084.0
"Agency Partnerships Speed The Innovation Journey","CMO",7211955.538136005,"[ ""David M. Cooperstein"" ]","499","230",114770.0
"Quick Take: Net? Yes. Neutrality? No.","Infrastructure & Operations",9458356.364641905,"[ ""Christopher Voce"", ""Ted Schadler"", ""Henning Dransfeld"" ]","199","79",15721.0
"The Forrester Wave™: Traditional Disaster Recovery Service Providers, Q1 2014","Infrastructure & Operations",9458357.229922056,"[ ""Stephanie Balaouras"" ]","2495","221",551395.0
"Six Responsive Website Project Pitfalls And The Best Practices For How To Avoid Them","Application Development & Delivery",9544757.895281076,"[ ""Mark Grannan"", ""Stephen Powers"", ""Michael Facemire"", ""Peter Sheldon"" ]","499","272",135728.0
"Quick Take: What's Behind The Unlikely Charter Communications/Time Warner Marriage Proposal","Marketing Leadership",9544758.445025921,"[ ""Jim Nail"", ""James L. McQuivey, Ph.D."", ""David M. Cooperstein"", ""Luca S. Paderni"" ]","195","61",11895.0
"Implementing Cloud Collaboration Solutions In Asia Pacific","Infrastructure & Operations",9544759.046447992,"[ ""Nupur Singh Singh"", ""Bryan Wang"", ""Michael Barnes"" ]","499","84",41916.0
"Quick Take: IBM's New eXFlash Delivers A Performance Boost For Data-Intensive Apps","Infrastructure & Operations",9544759.518595934,"[ ""Richard Fichera"", ""Laura Koetzle"" ]","199","70",13930.0
"Boost Brand Engagement With Native Advertising","Marketing Leadership",9544760.26248908,"[ ""Ryan Skinner"", ""Luca S. Paderni"", ""Susan Bidel"" ]","499","286",142714.0
"Forrester's Advanced Data Visualization Capabilities Self-Assessment Model","Application Development & Delivery",9544762.35315609,"[ ""Boris Evelson"", ""Holger Kisker, Ph.D."" ]","499","36",17964.0
"India Embarks On An Ambitious Government Cloud Journey","Infrastructure & Operations",9544763.470731974,"[ ""Sudhanshu Bhandari"", ""Manish Bahl"", ""Michael Barnes"" ]","499","77",38423.0
"Forrester's Self-Service BI Capabilities Self-Assessment Model","Application Development & Delivery",9544764.641993999,"[ ""Boris Evelson"", ""Holger Kisker, Ph.D."" ]","499","29",14471.0
"Market Overview: Microsoft Office 365 Implementation Partner Ecosystem","CIO",9631165.156393051,"[ ""TJ Keitt"", ""Khalid Kark"" ]","2495","229",571355.0
"Adoption Profile: Private Cloud In North America, Q3 2013","Infrastructure & Operations",5570366.07881403,"[ ""Lauren E. Nelson"", ""Doug Washburn"", ""Laura Koetzle"", ""Ryan Morrill"" ]","499","246",122754.0
"Predictions 2014: Mobility And Computing Technologies In The Age Of The Customer","Infrastructure & Operations",9631166.665760994,"[ ""J. P. Gownder"", ""Christopher Voce"" ]","499","590",294410.0
"Pricing Data Center Services","Sourcing & Vendor Management",9717567.311374903,"[ ""Wolfgang Benkel"", ""Chris Andrews"" ]","499","343",171157.0
"Five Ways IT And Business Can Cooperate To Win At Digital Experience Delivery","Application Development & Delivery",9717568.104960918,"[ ""David Aponovich"", ""Stephen Powers"" ]","499","299",149201.0
"Key Takeaways From Forrester's 2013 Customer Experience Forum EMEA: Know Thy Customer","Customer Experience",9717569.033823013,"[ ""Joana van den Brink-Quintanilha"", ""John Dalton"", ""Harley Manning"" ]","499","262",130738.0
"The Convergence Of Brand, Customer Experience, And Marketing","CMO",9717569.787902117,"[ ""Cory Munchbach"", ""David M. Cooperstein"", ""John Dalton"" ]","499","625",311875.0
"Predictions 2014: Customer Experience","Customer Experience",9717570.376293898,"[ ""Harley Manning"", ""John Dalton"", ""Tony Costa"", ""Megan Burns"", ""Jonathan Browne"" ]","499","692",345308.0
"Transform Customer Processes And Systems To Improve Experiences","Application Development & Delivery",9803971.137531996,"[ ""Stephen Powers"" ]","499","1579",787921.0
"Advance To Next-Generation Personalization","Application Development & Delivery",9803971.828707933,"[ ""Anjali Yakkundi"", ""Ron Rogowski"", ""Stephen Powers"", ""Harley Manning"", ""John R. Rymer"" ]","499","989",493511.0
"Predictions 2014: Mobile Trends For Marketers","Marketing Leadership",9803972.583877087,"[ ""Thomas Husson"", ""Julie A. Ask"", ""Carrie Johnson"", ""Melissa Parrish"" ]","499","689",343811.0
"Forrester Research Digital Banking Forecast, 2013 To 2018 (EU-7)","eBusiness & Channel Strategy",9803973.036546946,"[ ""Jeff Wray"" ]",,"5",
"Informal Learning Dominates Corporate And Customer Learning Approaches","Application Development & Delivery",9803973.676743984,"[ ""Claire Schooley"", ""Stephen Powers"" ]","499","203",101297.0
"Benchmark B2B Social Marketing Efforts","Marketing Leadership",9803974.600867987,"[ ""Kim Celestre"", ""Melissa Parrish"", ""Nate Elliott"", ""Xiaofeng Wang"" ]","499","320",159680.0
"Predictions 2014: Mobile Trends In eBusiness","eBusiness & Channel Strategy",9803976.336519003,"[ ""Julie A. Ask"", ""Thomas Husson"", ""Carrie Johnson"", ""Melissa Parrish"" ]","499","692",345308.0
"How To Make A Business Case For Data Investment","Enterprise Architecture",10063177.13095593,"[ ""Michele Goetz"", ""Leslie Owens"" ]","499","339",169161.0
"Quick Take: IBM Bets A Billion Dollars On Cognitive Computing","CIO",10063177.65054297,"[ ""Michele Goetz"", ""Ted Schadler"", ""Leslie Owens"" ]","199","140",27860.0
"Boosting First-Party Data Effectiveness With DMPs","Marketing Leadership",10063178.28861809,"[ ""Susan Bidel"", ""Luca S. Paderni"" ]","499","192",95808.0
"Select The Best HRM Solutions Using An Accelerated Approach","Application Development & Delivery",10149579.0026319,"[ ""Paul D. Hamerman"", ""Holger Kisker, Ph.D."", ""Claire Schooley"" ]","499","225",112275.0
"Executive Spotlight: Selling Security To The CMO","Security & Risk",10149579.7204299,"[ ""Andrew Rose"", ""Christopher McClean"", ""Sheryl Pattek"" ]","499","169",84331.0
"A Stopgap For Marketing Science Scarcity","Customer Insights",10149580.41741395,"[ ""Jason McNellis"", ""Shar VanBoskirk"" ]","499","148",73852.0
"Win The Social Marketing Measurement Game","Marketing Leadership",9717581.393601894,"[ ""Nate Elliott"", ""Melissa Parrish"", ""Christine Spivey Overby"", ""Jennifer Wise"" ]","499","671",334829.0
"Market Overview: Google Apps Implementation Partner Ecosystem","CIO",10235983.09123302,"[ ""TJ Keitt"", ""Khalid Kark"" ]","2495","193",481535.0
"The Forrester Wave™: Document Output For Customer Communications Management, Q1 2014","Enterprise Architecture",10235983.6794219,"[ ""Craig Le Clair"", ""Alex Cullen"" ]","2495","388",968060.0
"China Online Retail Forecast, 2013 To 2018","eBusiness & Channel Strategy",10235984.35098696,"[ ""Kelland Willis"", ""Zia Daniell Wigder"" ]","499","229",114271.0
"Case Study: iGaranti Reimagines The Mobile Banking Experience","eBusiness & Channel Strategy",6175185.449316025,"[ ""Oliwia Berdak"", ""Benjamin Ensor"" ]","499","354",176646.0
"Predictions 2014: Identity And Access Management","Security & Risk",10322386.59370494,"[ ""Andras Cser"", ""Eve Maler"", ""Stephanie Balaouras"" ]","499","569",283931.0
"Quick Take: FireEye Acquires Mandiant","Security & Risk",10322387.10454512,"[ ""Rick Holland"", ""John Kindervag"", ""Ed Ferrara"", ""Tyler Shields"", ""Stephanie Balaouras"" ]","199","144",28656.0
"The State Of Consumers And Technology: Benchmark 2013, Latin America","Customer Insights",10322388.04901195,"[ ""Roxana Strohmenger"", ""Reineke Reitsma"", ""Ryan Morrill"" ]",,"32",
"Connecting The Dots: Building An Integrated Strategy And Execution Plan","Enterprise Architecture",10322388.70653701,"[ ""Margo Visitacion"", ""Gordon Barnett"", ""Alex Cullen"" ]","499","529",263971.0
"TechRadar™: Software-As-A-Service, Q1 2014","Sourcing & Vendor Management",10322389.28254795,"[ ""Liz Herbert"", ""Paul D. Hamerman"", ""Claire Schooley"", ""Duncan Jones"", ""Amy DeMartine"", ""James Staten"", ""Chris Andrews"", ""David Aponovich"", ""Rob Koplowitz"", ""Kate Leggett"", ""Alan Weintraub"" ]",,"678",
"Understand The State Of Network Security: 2013 To 2014","Security & Risk",10408789.97744393,"[ ""Heidi Shey"", ""Stephanie Balaouras"", ""Kelley Mak"" ]","499","401",200099.0
"Building A Fitter Business With Wearable Technology","Infrastructure & Operations",10408790.68847489,"[ ""J. P. Gownder"", ""Christopher Voce"" ]","499","279",139221.0
"Pioneer Vendors: Smart, Connected Products For The Internet Of Things","CIO",10408791.37856197,"[ ""Frank E. Gillett"", ""Christopher Mines"", ""Leslie Owens"", ""Tony Costa"" ]","499","539",268961.0
"Innovative Consumer Technology Brands Win The Battle For Mindshare","CMO",9026392.052875042,"[ ""Tracy Stokes"", ""David M. Cooperstein"", ""Roxana Strohmenger"", ""James L. McQuivey, Ph.D."" ]","499","224",111776.0
"The Enterprise Wearables Journey","Infrastructure & Operations",10408792.74490309,"[ ""J. P. Gownder"", ""Christopher Voce"", ""Ted Schadler"", ""Julie A. Ask"" ]","499","419",209081.0
"Best Practices: Sourcing Telecommunications Services In Asia Pacific","Sourcing & Vendor Management",10667993.34191489,"[ ""Clement Teo"", ""Frederic Giron"", ""Bryan Wang"" ]","499","75",37425.0
"Forrester Research Web-Influenced Retail Sales Forecast, 2013 To 2018 (EU-7)","eBusiness & Channel Strategy",10667994.07019305,"[ ""Michael O'Grady"" ]",,"3",
"India Tech Market Outlook: 2014 – A BT Futures Report","CIO",10667994.84458804,"[ ""Manish Bahl"", ""Michael Barnes"", ""Frederic Giron"" ]","499","173",86327.0
"Focus On Customer Value To Grow Organizational Maturity","Enterprise Architecture",10754395.47401905,"[ ""Derek Miers"", ""Clay Richardson"", ""Alex Cullen"" ]","499","241",120259.0
"A Better But Still Subpar Global Tech Market In 2014 And 2015 – A BT Futures Report","CIO",10754396.21524096,"[ ""Andrew Bartels"", ""Khalid Kark"" ]","499","480",239520.0
"Emerging Markets Overview: Poland","Customer Insights",10754396.70680189,"[ ""Reineke Reitsma"", ""Ryan Morrill"", ""Anjali Lai"" ]",,"22",
"Emerging Markets Overview: India","Customer Insights",10754397.32381797,"[ ""Reineke Reitsma"", ""Ryan Morrill"", ""Anjali Lai"" ]",,"24",
"The Loyalty Partner Primer","Customer Insights",10754397.92474508,"[ ""Emily Collins"", ""Shar VanBoskirk"" ]","499","202",100798.0
"The State Of Service Design, 2013","Customer Experience",10927198.55531502,"[ ""John Dalton"" ]","499","305",152195.0
"Categorize Suppliers To Enhance Business Value","Sourcing & Vendor Management",10927199.15026093,"[ ""Lutz Peichert"", ""Chris Andrews"" ]","499","137",68363.0
"Service Design Agency Overview, 2013","Customer Experience",10927199.77812409,"[ ""John Dalton"" ]","499","259",129241.0
"Four Examples Of Decoding An IT Org Chart","CIO",10927201.88452506,"[ ""Marc Cecere"", ""Khalid Kark"", ""Andrew Smith"" ]","499","41",20459.0
"Decoding Your IT Org Chart","CIO",10927202.52597094,"[ ""Marc Cecere"", ""Khalid Kark"", ""Andrew Smith"" ]","499","338",168662.0
"An S&R Pro's Guide To Security To, In, And From The Cloud","Security & Risk",10927203.17142391,"[ ""Andras Cser"", ""Stephanie Balaouras"", ""Eve Maler"", ""Ed Ferrara"", ""Christopher McClean"", ""James Staten"" ]","499","447",223053.0
"Market Overview: Employee And Customer Authentication Solutions In 2013, Part 1 Of 2","Security & Risk",11013603.77790999,"[ ""Eve Maler"", ""Andras Cser"", ""Stephanie Balaouras"" ]","2495","434",1082830.0
"Predictions 2014: Marketing Leaders Put Insights To Use","Marketing Leadership",11013606.02079701,"[ ""Melissa Parrish"", ""Nate Elliott"", ""Thomas Husson"", ""Jim Nail"", ""Susan Bidel"", ""Anthony Mullen"", ""Kim Celestre"", ""Ryan Skinner"", ""Jennifer Wise"", ""Luca S. Paderni"" ]","499","715",356785.0
"Adoption Profile: Private Cloud In Europe,  Q3 2013","Infrastructure & Operations",11272806.89446712,"[ ""Lauren E. Nelson"", ""Doug Washburn"", ""Laura Koetzle"" ]","499","199",99301.0
"Use Services Benchmarks To Improve Outsourcing Relationships","Sourcing & Vendor Management",11272807.54684591,"[ ""Wolfgang Benkel"", ""Chris Andrews"" ]","499","186",92814.0
"The Forrester Wave™: Mobile Commerce Solution Providers, Q4 2013","eBusiness & Channel Strategy",11272808.18514609,"[ ""Peter Sheldon"", ""Zia Daniell Wigder"", ""Julie A. Ask"", ""Lily Varon"" ]","2495","499",1245005.0
"2013 US Bank Secure Website Rankings","eBusiness & Channel Strategy",11359208.93398595,"[ ""Peter Wannemacher"", ""Rachel Roizen"", ""Benjamin Ensor"", ""Stephen Walker"" ]","499","236",117764.0
"2013 Canadian Bank Secure Website Rankings","eBusiness & Channel Strategy",11359209.66925097,"[ ""Peter Wannemacher"", ""Benjamin Ensor"", ""Stephen Walker"", ""Rachel Roizen"" ]","499","152",75848.0
"Gauging Your Progress And Success","Marketing Leadership",11532010.22761011,"[ ""Peter O'Neill"", ""Lori Wizdo"" ]","499","145",72355.0
"Build A Road Map For A Successful SVMO","Sourcing & Vendor Management",11618410.82581592,"[ ""Lutz Peichert"", ""Chris Andrews"" ]","499","136",67864.0
"The Internet Of Things Comes Home, Bit By Bit","CIO",11618411.27316689,"[ ""Frank E. Gillett"", ""Christopher Mines"" ]","2495","768",1916160.0
"SAP Services Market Overview","Sourcing & Vendor Management",11618411.6496129,"[ ""Liz Herbert"", ""Chris Andrews"" ]","2495","329",820855.0
"Market Overview: Web Content Management Systems","Application Development & Delivery",10149612.07740498,"[ ""David Aponovich"", ""Stephen Powers"" ]","2495","385",960575.0
"Follow Best Practices To Encourage Mobile Insurance Use","eBusiness & Channel Strategy",11877613.03410792,"[ ""Oliwia Berdak"", ""Ellen Carney"", ""Benjamin Ensor"", ""Aurelie L'Hostis"" ]","499","327",163173.0
"Building A World-Class Mobile Insurance Strategy","eBusiness & Channel Strategy",11877613.63784909,"[ ""Ellen Carney"", ""Benjamin Ensor"", ""Julie A. Ask"", ""Peter Wannemacher"" ]",,"359",
"Tech Spotlight: Enterprise File Sharing","Security & Risk",11877614.22126889,"[ ""Heidi Shey"", ""Stephanie Balaouras"", ""Kelley Mak"" ]","499","208",103792.0
"Understand Operational Nuances To Achieve Success With Google Product Listing Ads","Marketing Leadership",11877614.79190803,"[ ""Shar VanBoskirk"", ""Melissa Parrish"", ""Elizabeth Komar"" ]","499","135",67365.0
"Emerging Markets Overview: Turkey","Customer Insights",11877615.13505697,"[ ""Reineke Reitsma"", ""Ryan Morrill"", ""Anjali Lai"" ]",,"18",
"Hiring The Right Customer Experience Team For Greater CX Maturity","Customer Experience",11964015.75984693,"[ ""Megan Burns"", ""Harley Manning"" ]","499","300",149700.0
"Digital Business Design Improves Efficiency And Insight","Application Development & Delivery",11964016.478894,"[ ""Randy Heffner"", ""Christopher Mines"" ]","499","195",97305.0
"Predictions 2014: Enterprise Telecoms And Mobility Services Sourcing","Sourcing & Vendor Management",11964017.01582003,"[ ""Chris Andrews"" ]","499","316",157684.0
"Predictions 2014: The Year Of Digital Business","eBusiness & Channel Strategy",11964017.58410001,"[ ""Martin Gill"", ""Patti Freeman Evans"", ""Carrie Johnson"" ]","499","597",297903.0
"Predictions For 2014: Servers And Data Centers","Infrastructure & Operations",11964018.53843188,"[ ""Richard Fichera"", ""Laura Koetzle"" ]","499","400",199600.0
"Predictions 2014: B2B CMOs Will Juggle Data, Brand, And Organizational Investments","CMO",11964020.66093707,"[ ""Sheryl Pattek"", ""David M. Cooperstein"", ""Laura Ramos"", ""Lori Wizdo"", ""Ryan Skinner"" ]","499","323",161177.0
"Digital Business Design Sharpens Organizations' Competitive Posture","Application Development & Delivery",11964021.29610491,"[ ""Randy Heffner"", ""Christopher Mines"" ]","499","206",102794.0
"The New Privacy: It's All About Context","Customer Insights",11964021.80455303,"[ ""Fatemeh Khatibloo"", ""Josh Bernoff"", ""Eve Maler"" ]","499","339",169161.0
"Predictions 2014: B2C CMOs Embrace The Post-Digital Landscape","CMO",11964022.40887403,"[ ""Cory Munchbach"", ""David M. Cooperstein"", ""Tracy Stokes"", ""Jim Nail"" ]","499","309",154191.0
"Demystifying BYOD In Europe","Sourcing & Vendor Management",12050422.99800992,"[ ""Henning Dransfeld"", ""Chris Andrews"" ]","499","211",105289.0
"Digital Business Leadership","CIO",12050423.64731503,"[ ""Nigel Fenwick"", ""Martin Gill"", ""Peter Burris"", ""David M. Cooperstein"" ]","499","398",198602.0
"CMOs Must Prepare For Lead-To-Revenue Investments Now","CMO",12050424.2429831,"[ ""Laura Ramos"", ""David M. Cooperstein"", ""Lori Wizdo"" ]","499","150",74850.0
"The Forrester Wave™: Enterprise Business Intelligence Platforms, Q4 2013","Application Development & Delivery",12050425.25443196,"[ ""Boris Evelson"", ""Holger Kisker, Ph.D."", ""Martha Bennett"" ]","2495","1009",2517455.0
"Key Takeaways From Forrester's 2013 Customer Experience Forum West","Customer Experience",12136826.09005404,"[ ""John Dalton"", ""Harley Manning"" ]","499","245",122255.0
"Mobile App Or Mobile Web? It's A Choice, Not A Battle","eBusiness & Channel Strategy",12136827.45919108,"[ ""Ted Schadler"", ""Julie A. Ask"", ""Michael Facemire"", ""Peter Sheldon"", ""Mark Grannan"", ""John Dalton"", ""Jeffrey S. Hammond"", ""Thomas Husson"" ]","499","424",211576.0
"The Forrester Wave™: Social Advertising Platforms, Q4 2013","Marketing Leadership",12136828.36155009,"[ ""David Truog"" ]","2495","516",1287420.0
"Latin America Online Retail Forecast, 2013 To 2018","eBusiness & Channel Strategy",12136828.9734261,"[ ""Zia Daniell Wigder"", ""Jitender Miglani"" ]","499","256",127744.0
"Mobile App Or Mobile Web? For IT, It's A Choice, Not A Battle","CIO",12136829.67809391,"[ ""Ted Schadler"", ""Julie A. Ask"", ""Michael Facemire"", ""Peter Sheldon"", ""Mark Grannan"", ""John Dalton"", ""Jeffrey S. Hammond"", ""Thomas Husson"" ]","499","358",178642.0
"Year-End 2013 IT Budget Benchmarks","CIO",12223230.28828096,"[ ""Andrew Bartels"", ""Marc Cecere"", ""Khalid Kark"" ]","499","874",436126.0
"Quick Take: Marketo Acquires Insightera","Customer Insights",12223230.80868101,"[ ""Lori Wizdo"", ""Peter O'Neill"" ]","195","87",16965.0
"Market Overview: eDiscovery, Q4 2013","Enterprise Architecture",9458431.569576979,"[ ""Cheryl McKinnon"", ""Leslie Owens"" ]","2495","245",611275.0
"TechRadar™: Enterprise Mobile Security, Q4 2013","Security & Risk",12482432.34118199,"[ ""Tyler Shields"", ""Christian Kane"", ""Chris Sherman"", ""Stephanie Balaouras"" ]",,"508",
"Market Overview: Network Segmentation Gateways, Q4 2013","Security & Risk",12568832.77931905,"[ ""John Kindervag"", ""Stephanie Balaouras"", ""Rick Holland"", ""Heidi Shey"", ""Kelley Mak"" ]","2495","270",673650.0
"Predictions 2014: Global eCommerce Mandates Multiple Touchpoints And Business Models","eBusiness & Channel Strategy",12568834.54380107,"[ ""Zia Daniell Wigder"" ]","499","511",254989.0
"What Does It Take To Win With Executive Buyers?","Sales Enablement",12568835.24696302,"[ ""Norbert Kriebel"", ""Scott Santucci"" ]","499","168",83832.0
"Think Like A Sponsor To Improve Emerging Technology Investments","Enterprise Architecture",12568836.00146389,"[ ""Brian Hopkins"", ""Leslie Owens"" ]","499","202",100798.0
"How Unified Is Your Customer Experience?","Customer Experience",12568836.63398409,"[ ""Ron Rogowski"", ""John Dalton"" ]","499","550",274450.0
"Forrester Research Online Retail Forecast, 2013 To 2018 (Latin America)","eBusiness & Channel Strategy",12568836.98715305,"[ ""Jitender Miglani"" ]",,"4",
