title,role,date,authors,authorscore,price,downloads,revenue
Business Architecture Programs Should Align With The Organization's Context,Enterprise Architecture,78753321.05663109,[u'Alex Cullen'],526304.5814977974,499,476,237524.0
eBusiness Teams Reorganize . . . Again,eBusiness & Channel Strategy,78753322.44056511,[u'Carrie Johnson'],383516.32446808513,499,542,270458.0
"To Invest Wisely, Know The Business Value Of Diverse Contact Center SolutionsA Social Computing Report",Application Development & Delivery,78753323.07814598,[u'Kate Leggett'],708006.7666666667,499,598,298402.0
Market Overview: Digital Commerce Solutions 2011,eBusiness & Channel Strategy,76334123.46289206,"[u'Peter Sheldon', u'Zia Daniell Wigder', u'Lily Varon']",676336.3859649122,2495,1726,4306370.0
Use HR Analytics To Optimize Talent Processes,Application Development & Delivery,78753324.18758607,"[u'Claire Schooley', u'Boris Evelson', u'Craig Le Clair']",1300291.125,499,1048,522952.0
Opportunities In Education's Global ExpansionA BT Futures Report,CIO,77889324.66470408,"[u'Jennifer Belissent, Ph.D.', u'Pascal Matzke']",1017670.4539877301,2495,603,1504485.0
Myths And Truths About Daily Deals,eBusiness & Channel Strategy,78753326.39866495,"[u'Sucharita Mulpuru', u'Patti Freeman Evans']",544971.5518867924,499,890,444110.0
"Market Overview: Public IaaS Clouds, Q4 2011, Part 1",Infrastructure & Operations,78753326.8603301,"[u'Lauren E. Nelson', u'James Staten', u'Stephanie Balaouras', u'Andre Kindness', u""Glenn O'Donnell""]",912649.6710526316,2495,1333,3325835.0
Craft Your Contact Center Investment Plans In Light Of Technology Adoption PatternsA Social Computing Report,Application Development & Delivery,78753328.4743681,[u'Kate Leggett'],708006.7666666667,499,468,233532.0
Offshore Innovation: Yesterday's Expectations Are Today's Table Stakes,Sourcing & Vendor Management,79016129.20529604,[u'Chris Andrews'],481104.3922829582,499,422,210578.0
Atlas Shrugged: Security Pros Must Adjust To The New Realities Of A Post-RSA Breach World,Security & Risk,76938929.870296,"[u'Andras Cser', u'Stephanie Balaouras', u'Eve Maler']",901886.41,499,339,169161.0
Japanese Firms Refocus On Business Continuity/Disaster Recovery Post Earthquake,Security & Risk,79016130.31975603,[u'John C. McCarthy'],543419.54,2495,175,436625.0
Case Study: ADT Improves Interactive Marketing Decision-Making By Using Dashboards,Marketing Leadership,79016132.95865607,"[u'David Truog', u'Elizabeth Komar']",475245.27906976745,499,334,166666.0
Three Key Tips To Optimizing Your Commercial Relationship With SAP,Sourcing & Vendor Management,79102534.938447,"[u'Duncan Jones', u'Chris Andrews']",548253.4705882353,499,392,195608.0
Case Study: USAA Makes Mobile Remote Deposit A Core Mobile Offering,eBusiness & Channel Strategy,78407735.762357,[u'Carrie Johnson'],383516.32446808513,499,467,233033.0
The EA Road-Mapping Tool Kit,Enterprise Architecture,79102536.34229589,"[u'Gene Leganza', u'Alex Cullen']",535101.093877551,499,82,40918.0
Integration Competency Center Best Practices,Application Development & Delivery,79102538.00138307,[],0,499,406,202594.0
EA Road-Mapping Tool Kit Templates,Enterprise Architecture,79102538.40037394,"[u'Gene Leganza', u'Alex Cullen']",535101.093877551,499,102,50898.0
Boosting Online Bill Pay Adoption,eBusiness & Channel Strategy,79102538.98846602,[u'Carrie Johnson'],383516.32446808513,499,434,216566.0
Market Overview: ePurchasing And Contract Life-Cycle Management In 2011 To 2012A BT Futures Report,CIO,79102539.52480006,"[u'Andrew Bartels', u'Christopher Mines']",1263582.44,2495,1016,2534920.0
How Firms Use Web Analytics,Customer Insights,79188941.43482089,[],0,499,642,320358.0
To Insource Or To Outsource: Understanding The Customer Intelligence Decision Process,Customer Insights,79188942.28022695,[u'Fatemeh Khatibloo'],268897.56097560975,499,364,181636.0
What Customers Really Think About Their Web Analytics Vendors,Customer Insights,79188943.02463794,[],0,499,527,262973.0
Profiling The Strategy-Oriented EA Practice,Enterprise Architecture,79188943.6115501,[u'Alex Cullen'],526304.5814977974,499,804,401196.0
E-Textbooks Are A Transitional Product,Marketing Leadership,79188944.28942204,"[u'J. P. Gownder', u'James L. McQuivey, Ph.D.']",425642.68695652176,499,454,226546.0
"The State Of Consumers And Technology: Benchmark 2011, US",Marketing Leadership,77543745.28292203,"[u'Gina Fleming', u'Reineke Reitsma', u'Samantha Yanling Jaddou']",274548.01785714284,2495,1812,4520940.0
Case Study: Discover Financial Services Partners With PayPal To Roll Out Mobile P2P Payments,eBusiness & Channel Strategy,79188945.96372604,[u'Peter Wannemacher'],347580.4244604317,499,651,324849.0
The Consolidating Hosting Market Poses New Challenges For SVM Professionals,Sourcing & Vendor Management,79188946.64923596,[u'William Martorelli'],734511.6578947369,499,210,104790.0
How Personal Identity Management Will Change Social Marketing Relationships,Customer Insights,79275347.604321,"[u'Fatemeh Khatibloo', u'Allison Smith']",492074.31868131866,499,406,202594.0
New Productivity Platforms: Our Interactive Vendor Profiles,Application Development & Delivery,79275348.64694,"[u'John R. Rymer', u'Jeffrey S. Hammond']",913327.8214285715,499,37,18463.0
"The Forrester Wave: Enterprise Content Management, Q4 2011",Enterprise Architecture,79275349.2554369,"[u'Alan Weintraub', u'Stephen Powers', u'Anjali Yakkundi']",967928.0483870967,2495,3315,8270925.0
Defend Your Business From The Mutating Threat Landscape,Security & Risk,79275351.21677089,"[u'John Kindervag', u'Stephanie Balaouras', u'Kelley Mak']",634238.0085714286,499,997,497503.0
The New Productivity Platforms: Your Solution To The AD&D Crunch,Application Development & Delivery,79275351.80475211,"[u'John R. Rymer', u'Jeffrey S. Hammond']",913327.8214285715,499,595,296905.0
"jQuery Mobile: The App Internet, Without The App",Application Development & Delivery,79275352.53151393,[u'Jeffrey S. Hammond'],755414.43125,499,719,358781.0
"How Spanish Banking Customers Use Different Channels, 2011",eBusiness & Channel Strategy,79361753.29633498,[u'Benjamin Ensor'],432286.46875,2495,390,973050.0
The Enterprise 2.0 User Profile: 2011A Social Computing Report,CIO,79361754.04633403,"[u'TJ Keitt', u'Rob Koplowitz']",976423.7570093458,499,659,328841.0
"Forrester Research Connected Devices Forecast, 2011 To 2016 (US)",Marketing Leadership,79361754.58416009,"[u""Michael O'Grady""]",69340.19354838709,5750,5,28750.0
Best Practices For Software Road Maps,Application Development & Delivery,79361755.1332221,[],0,499,1103,550397.0
"SAS 70 Out, New Service Organization Control Reports In",Security & Risk,77802956.31764889,"[u'Ed Ferrara', u'Stephanie Balaouras']",634238.0085714286,499,460,229540.0
Technology For Engagement Channel Systems,Sales Enablement,79620957.03252292,[u'Peter Burris'],376683.9521276596,499,359,179141.0
"Australia, China, And India Set The Pace In Asian IT ServicesA BT Futures Report",CIO,77975757.6688869,"[u'John C. McCarthy', u'Frederic Giron', u'Pascal Matzke']",1017670.4539877301,499,944,471056.0
Business-Process-Led Banking Platform Selection,Application Development & Delivery,79620958.3421061,[u'Jost Hoppermann'],518503.3679245283,499,394,196606.0
The Disruptor's Handbook,CMO,79707359.09263396,"[u'James L. McQuivey, Ph.D.', u'Carlton A. Doty']",499922.75757575757,499,1440,718560.0
Contact Center Purchase Plans 2011,Application Development & Delivery,79707360.01318002,"[u'Art Schoeller', u'Laura Koetzle']",450427.7572815534,499,667,332833.0
CI's Imperative In The Age Of The Customer:  Drive Business Success,Customer Insights,79707360.81170201,[],0,499,295,147205.0
A Big Boom In The Videoconferencing Market Awaits In Asia,Infrastructure & Operations,79707361.34088492,"[u'Katyayan Gupta', u'Michael Yamnitsky']",859577.4,2495,245,611275.0
2012 IT Budget Planning Guide For CIOs,CIO,79707362.14898705,"[u'Andrew Bartels', u'Khalid Kark']",1263582.44,499,2803,1398697.0
The Emerging Engagement Channel Model,Sales Enablement,79707362.7657721,[u'Peter Burris'],376683.9521276596,499,491,245009.0
People Are Bringing Macs To Work  It's Time To Repeal ProhibitionAn Information Workplace Report,Infrastructure & Operations,76161363.41163898,"[u'David K. Johnson', u'Christopher Voce', u'Kelley Mak']",474806.725,499,751,374749.0
How To Hire And Retain The Best Interactive Marketers,Marketing Leadership,79707363.9427681,"[u'Shar VanBoskirk', u'David Truog']",722552.1900452488,499,387,193113.0
RFP Template For Telecom Expense Management Solutions,Infrastructure & Operations,79707364.33115602,[],0,499,72,35928.0
Understanding The Embedded Security Market EcosystemA BT Futures Report,CIO,79793764.92815495,"[u'Pascal Matzke', u'Heidi Shey']",1017670.4539877301,2495,382,953090.0
Employee Master Data Management Trends,Application Development & Delivery,79793765.328964,"[u'Paul D. Hamerman', u'Boris Evelson']",1300291.125,,70,
Disaster Recovery Exercises Fall Short Of The  Finish Line,Infrastructure & Operations,79793766.10596704,[u'Stephanie Balaouras'],634238.0085714286,499,404,201596.0
The Future Of Mobile Experiences Is Context,Customer Experience,79793766.773736,"[u'Julie A. Ask', u'J. P. Gownder', u'Moira Dorsey', u'Ted Schadler']",762666.4326923077,499,864,431136.0
Manage Master Data About Your People,Application Development & Delivery,79793767.32438207,[u'Paul D. Hamerman'],860365.0378378378,499,608,303392.0
Metrics That Matter For B2B Marketers,CMO,79793770.54137707,[u'David M. Cooperstein'],303961.14492753625,499,886,442114.0
Agile Commerce Is Coming Of Age For European RetailersA Social Computing Report,eBusiness & Channel Strategy,79793771.20476604,"[u'Martin Gill', u'Patti Freeman Evans']",544971.5518867924,499,424,211576.0
Customize Your Interactive Brand Ecosystem,Marketing Leadership,79793771.99481606,"[u'Nate Elliott', u'James McDavid']",493198.837398374,499,669,333831.0
"OpenID Connect Heralds The ""Identity Singularity""",Security & Risk,79793772.8378501,"[u'Eve Maler', u'Stephanie Balaouras', u'Andras Cser', u'Kelley Mak']",901886.41,499,539,268961.0
ERP Workflow: A New Option To Treat Business Process Pain,Application Development & Delivery,79880173.61447501,[u'Boris Evelson'],1300291.125,499,359,179141.0
CMOs Must Merge Marketing With IT To Win In The Digital Decade,Marketing Leadership,79880174.55284405,"[u'Nigel Fenwick', u'Luca S. Paderni', u'David M. Cooperstein', u'Khalid Kark']",601279.7472527473,499,802,400198.0
Customer Experience Strategy Best Practices,Customer Experience,79880175.33804798,"[u'Paul Hagen', u'Harley Manning']",580356.976744186,499,1620,808380.0
Emerging Technology Vendors That Insurance Enterprise Architects Should Watch In 2012,Enterprise Architecture,77889376.09021306,"[u'Ellen Carney', u'Alex Cullen']",526304.5814977974,499,897,447603.0
Navigating The Asia Pacific Software-As-A-Service MarketA BT Futures Report,Application Development & Delivery,79880176.72124004,"[u'Michael Barnes', u'Holger Kisker, Ph.D.', u'Pascal Matzke']",1101950.1237113401,499,540,269460.0
Demand Insights: The SMB Software Market 2011,Sales Enablement,79880177.40339708,[u'Peter Burris'],376683.9521276596,499,850,424150.0
Forrester's IT And Marketing Partnership Readiness Model For CIOs,CIO,79880177.867481,"[u'Luca S. Paderni', u'Nigel Fenwick', u'Khalid Kark', u'David M. Cooperstein']",601279.7472527473,499,36,17964.0
CIOs Must Merge IT With Marketing To Win In The Digital Decade,CIO,79880179.01511312,"[u'Luca S. Paderni', u'Nigel Fenwick', u'Khalid Kark', u'David M. Cooperstein']",601279.7472527473,499,733,365767.0
Forrester's IT And Marketing Partnership Readiness Model For CMOs,CMO,79880179.45815492,"[u'Nigel Fenwick', u'Luca S. Paderni', u'David M. Cooperstein', u'Khalid Kark']",601279.7472527473,499,44,21956.0
"Product Strategists At Telcos Shouldn't Obsess About ""Bit Pipe Syndrome""A Digital Home Report",Marketing Leadership,79880180.2896421,"[u'Thomas Husson', u'J. P. Gownder']",535409.052173913,499,645,321855.0
Case Study: Best Practices In Managing Outsourcing Service Levels,Sourcing & Vendor Management,79966580.91509199,"[u'Wolfgang Benkel', u'Chris Andrews']",615630.8541666666,499,539,268961.0
Investing In Marketing's Technology Future,Customer Insights,79966581.50006104,[],0,499,717,357783.0
Cloud Computing Road Map For Enterprise Architects,Enterprise Architecture,79966582.21806407,[],0,499,197,98303.0
"Forrester Research World Online Population Forecast, 2011 To 2016 (Global)",Marketing Leadership,79966582.56546688,"[u'Vikram Sehgal', u'Jeff Wray']",264795.8024691358,5750,9,51750.0
Motivating IT Employees  Part 2,CIO,79966583.0958209,"[u'Marc Cecere', u'Nigel Fenwick']",673266.3119266055,499,622,310378.0
Why Product Strategists At The Lego Group Treat Co-Creators Like RoyaltyA Social Computing Report,Marketing Leadership,79966583.66181397,[u'J. P. Gownder'],392243.7913043478,499,264,131736.0
Facing A CSAT Crisis? Use Forrester's ALARM Research Methodology,Customer Experience,79966584.17932296,"[u'Reineke Reitsma', u'Samantha Yanling Jaddou']",274548.01785714284,499,196,97804.0
The Content Security Forecast Calls For Clouds,Security & Risk,79966585.01715994,"[u'Rick Holland', u'Stephanie Balaouras', u'Kelley Mak']",634238.0085714286,499,696,347304.0
BC/DR Remain Priorities For 2012 But Take A Backseat To Cost-Saving And Efficiency Initiatives,Security & Risk,79966585.57066107,"[u'Stephanie Balaouras', u'Laura Koetzle']",634238.0085714286,499,455,227045.0
Using Forrester's SIMPLE Framework To Gain Traction In Strategic Sales Enablement Programs,Sales Enablement,80225785.94928598,[u'Scott Santucci'],151022.35,499,105,52395.0
The Lead-Nurturing Payoff For The Tech Industry,Customer Insights,80225786.53284693,"[u'Lori Wizdo', u'Peter Burris', u'Sophia I. Vargas']",376683.9521276596,499,646,322354.0
Market Overview: 2011 Social Media Platforms  For B2B Tech Marketing,Marketing Leadership,80225788.3714199,"[u'Kim Celestre', u'Peter Burris']",412334.39285714284,499,1420,708580.0
Navigate The Fragmented Mobile Security Market,Security & Risk,76593389.07578206,"[u'Stephanie Balaouras', u'Chris Sherman']",634238.0085714286,2495,2185,5451575.0
Building An Effective Information Security Policy Framework,Security & Risk,80225789.99951696,"[u'Andrew Rose', u'Stephanie Balaouras']",634238.0085714286,499,744,371256.0
Is Your Site Ready For The Holidays?,eBusiness & Channel Strategy,80225790.68067598,"[u'Peter Sheldon', u'Zia Daniell Wigder', u'Sucharita Mulpuru', u'Lily Varon']",676336.3859649122,499,336,167664.0
"TechRadar For Enterprise Architecture Professionals: Technologies For Empowered Employees, Q4 2011A Social Computing Report",Enterprise Architecture,79880191.59781003,"[u'Gene Leganza', u'Laura Koetzle']",535101.093877551,2495,1445,3605275.0
Three Fundamentals Of BPM Governance,CIO,80312192.16837096,[u'Derek Miers'],598562.380952381,499,821,409679.0
Making Online Insurance Cross-Sell Initiatives Work,eBusiness & Channel Strategy,80312192.86701798,"[u'Ellen Carney', u'Carrie Johnson']",383516.32446808513,499,841,419659.0
How Vendors Will Accelerate The Move To Enterprise Mobility In Asia PacificAn Information Workplace Report,Infrastructure & Operations,80312193.72926092,"[u'Bryan Wang', u'Michele Pelino', u'Christopher Mines']",976051.8646288209,499,567,282933.0
Enterprise Hadoop: The Emerging Core Of Big Data,Application Development & Delivery,80312194.81073499,[u'Brian Hopkins'],478799.1034482759,499,2089,1042411.0
Closing The Sales Coaching Feedback Loop,Sales Enablement,80398595.37374592,[],0,499,154,76846.0
Case Study: Yahoo Pioneers Hadoop In Operational Big Data Programs,Application Development & Delivery,80398595.94030309,"[u'Clay Richardson', u'Brian Hopkins']",730319.7878787878,499,863,430637.0
SaaS Vendor Management Tools Gain Relevance,Sourcing & Vendor Management,80398596.55373907,"[u'Liz Herbert', u'Chris Andrews']",650577.5357142857,499,458,228542.0
"Global Mobile Behaviors, 2011A Social Computing Report",Marketing Leadership,77802997.33162594,"[u'Gina Fleming', u'Thomas Husson', u'Reineke Reitsma', u'Samantha Yanling Jaddou']",535409.052173913,,321,
Asian Urbanization Creates Opportunities For ICT Suppliers,CIO,80398597.90355206,"[u'Manish Bahl', u'Christopher Mines']",976051.8646288209,2495,288,718560.0
"Case Study: Splashtop Product Strategists Create Innovative, Disruptive Education Software",Marketing Leadership,80398598.545017,[u'J. P. Gownder'],392243.7913043478,499,324,161676.0
Corporate Sustainability Will Depend  On IT SolutionsA BT Futures Report,CIO,80484999.23376107,[u'Christopher Mines'],976051.8646288209,499,421,210079.0
The Road Ahead For SAP's Business ByDesign,Application Development & Delivery,80484999.74097204,[u'Craig Le Clair'],1197000.4537815126,499,458,228542.0
The Benefits Of Centralized SaaS Strategy,Sourcing & Vendor Management,80485000.46262503,"[u'Liz Herbert', u'Chris Andrews']",650577.5357142857,499,584,291416.0
"Market Overview: Content Security, Q3 2011",Security & Risk,73223800.98889995,"[u'Stephanie Balaouras', u'Chris Sherman']",634238.0085714286,2495,799,1993505.0
Use Visual Design To Help Unify The Digital Customer Experience,Customer Experience,80571401.58209991,[u'Ron Rogowski'],310971.2252747253,499,554,276446.0
Orchestrating The Brand Experience: A Maturity Model,CMO,80571402.191612,"[u'David M. Cooperstein', u'Cory Munchbach']",321191.5714285714,499,649,323851.0
European Shopping Behavior Revealed,eBusiness & Channel Strategy,80571403.44869709,"[u'Patti Freeman Evans', u'Martin Gill']",544971.5518867924,499,643,320857.0
Beyond Alignment: A Road Map For Business-Centric CIOsA Business Technology (BT) Report,CIO,80571404.1556201,"[u'Nigel Fenwick', u'Khalid Kark']",601279.7472527473,499,1144,570856.0
The State Of Social Technologies In Asia Pacific,CIO,80571404.64481497,"[u'Christopher Mines', u'Michael Yamnitsky']",976051.8646288209,2495,375,935625.0
Q&A: Answers To Your Top Questions About Cloud-Based Records Management,Security & Risk,80571405.15435195,[u'Stephanie Balaouras'],634238.0085714286,499,272,135728.0
Build An Operations Stairway To The Mobile FutureAn Information Workplace Report,CIO,80571407.3071909,"[u'Ted Schadler', u'Jeffrey S. Hammond', u'Christian Kane', u'Khalid Kark']",762666.4326923077,499,1178,587822.0
Three Rules For Averting Costly Coupon Fraud And Coupon Abuse,eBusiness & Channel Strategy,80830608.14561105,"[u'Andy Hoar', u'Patti Freeman Evans']",544971.5518867924,499,238,118762.0
"Forrester Research Mobile Adoption Forecast, 2011 To 2016 (Western Europe)",Marketing Leadership,75470209.17635894,"[u""Michael O'Grady""]",69340.19354838709,5750,1,5750.0
Reviewer's Guide: Customer Journey Map Review 1.0,Customer Experience,80917010.2156651,[u'Jonathan Browne'],279082.7,499,94,46906.0
"The Strategic Language Of Transformation Unlocks The Power Of BPM, Part 2",Enterprise Architecture,80917011.399863,[u'Derek Miers'],598562.380952381,499,626,312374.0
Case Study: Cisco Quad Gives Employees CARS ExperiencesA C.A.R.S. Report,Customer Experience,70718212.02038598,[u'Moira Dorsey'],318796.24166666664,499,147,73353.0
Traditional Paid Media Must Fuel Earned Media Efforts,CMO,80312212.74404597,"[u'Tracy Stokes', u'David M. Cooperstein']",303961.14492753625,499,710,354290.0
Scorecard: Customer Journey Map Review 1.0,Customer Experience,80917013.33906102,[u'Jonathan Browne'],279082.7,499,103,51397.0
"Telecom Expense Management Vendor Selection Tool, Q3 2011",Infrastructure & Operations,80917013.99791288,[],0,,46,
Online Retailing In Australia 2011: Technology Investment,eBusiness & Channel Strategy,81003414.79525208,"[u'Zia Daniell Wigder', u'Peter Sheldon', u'Lily Varon']",676336.3859649122,499,263,131237.0
How B2B Firms Can Improve Their Email Marketing,Marketing Leadership,81003415.65897799,"[u'Shar VanBoskirk', u'James McDavid']",722552.1900452488,499,612,305388.0
"Reflections From A BPM Thought Leader: Alan Trefler, Pegasystems",Application Development & Delivery,81003416.567101,[u'Derek Miers'],598562.380952381,499,317,158183.0
"Inquiry Spotlight: Enterprise Mobility Sourcing And Planning, 2010 To H1 2011",Sourcing & Vendor Management,81003417.24498296,[u'Chris Andrews'],481104.3922829582,499,428,213572.0
Business Technology Buyers' Social Media Behaviors Are Evolving,Sales Enablement,81003417.82299995,"[u""Peter O'Neill"", u'Peter Burris', u'Sophia I. Vargas']",800843.4126984127,499,473,236027.0
Data Quality Impacts On Business Process Management,Application Development & Delivery,81089818.26011705,[u'Clay Richardson'],730319.7878787878,,63,
Enterprise Hadoop Best Practices: Concrete Guidelines From Early Adopters In Online Services,Application Development & Delivery,81089818.7735269,[u'Brian Hopkins'],478799.1034482759,499,1050,523950.0
Forrester's Sales Battle Card Evaluation Results,Sales Enablement,81089819.49180198,[u'Dean Davison'],132542.07692307694,499,293,146207.0
Social Media Measurement Proxies That Work,Marketing Leadership,81089820.08169103,"[u'Nate Elliott', u'David Truog', u'James McDavid']",493198.837398374,499,718,358282.0
Trends In Aligning Business Process And Master Data Management Initiatives,Application Development & Delivery,81089820.488379,[u'Clay Richardson'],730319.7878787878,,122,
Breaking Down Entropy And Passwords,Security & Risk,81089821.335495,"[u'Eve Maler', u'Stephanie Balaouras']",634238.0085714286,499,381,190119.0
Case Study: Charles Schwab Boosts Acquisition With Online Ratings And ReviewsA Social Computing Report,eBusiness & Channel Strategy,81089822.18182707,"[u'Carrie Johnson', u'Bill Doyle']",383516.32446808513,499,528,263472.0
Prioritize Sales Coaching For Sales Results,Sales Enablement,81435422.977077,[],0,499,148,73852.0
"Forrester Research Digital Devices Forecast, 2011 To 2016 (Europe)",Marketing Leadership,81435423.56582499,[u'Vikram Sehgal'],264795.8024691358,5750,7,40250.0
The Top 10 Technology Trends EA Should Watch: 2012 To 2014,Enterprise Architecture,80312224.30348611,"[u'Brian Hopkins', u'Gene Leganza', u'Alex Cullen']",535101.093877551,499,4500,2245500.0
The Top 10 Business Technology Trends EA Should Watch: 2012 To 2014,Enterprise Architecture,80312225.35887408,"[u'Brian Hopkins', u'Gene Leganza', u'Alex Cullen']",535101.093877551,499,2796,1395204.0
Case Study: A Revolutionary Change Within Cisco IT Helps Manage IT's Value-Add,Infrastructure & Operations,81435426.92240095,"[u'Eveline Oehrlich', u'Doug Washburn']",626761.8120300752,499,314,156686.0
Case Study: USA Fact Uses Mobile To Boost CRM Adoption And Productivity,Application Development & Delivery,81521827.40743494,[],0,499,282,140718.0
How To Build Out A Proactive Competitive Market Intelligence (CMI) Program,Sales Enablement,78062228.13315797,"[u'Reineke Reitsma', u'Samantha Yanling Jaddou']",274548.01785714284,499,809,403691.0
Global Unified Communications (UC) Service Provider Selection Checklist,Sourcing & Vendor Management,81521828.83297706,[],0,499,54,26946.0
RFP Template For PC Refresh,Sourcing & Vendor Management,81521829.33091998,[],0,499,55,27445.0
"The Forrester Wave: Web Analytics, Q4 2011",Customer Insights,81521829.90822196,[],0,2495,2190,5464050.0
"2011 Integration Survey, Part Two: The Calm Before The Storm",Application Development & Delivery,81521830.45299697,[],0,499,629,313871.0
CIO Perspectives On App Dev: We Need New Approaches To Deliver Applications Faster,Application Development & Delivery,81521831.09794593,[u'Mike Gualtieri'],1000810.6666666666,499,709,353791.0
Updated Q4 2011: Cover Your Assets; Use IT Asset Life-Cycle Management To Control IT Costs,Infrastructure & Operations,81608232.1742549,"[u'Eveline Oehrlich', u'Doug Washburn']",626761.8120300752,499,799,398701.0
Five Steps To Improve The IT Financial Management Maturity Of Your I&O Organization,Infrastructure & Operations,81608232.72420502,[u'Doug Washburn'],486357.73125,499,746,372254.0
Benchmark Your Interactive Marketing Maturity,Marketing Leadership,81608233.26778102,"[u'Shar VanBoskirk', u'Jennifer Wise']",722552.1900452488,499,869,433631.0
Website Functionality Benchmark 2011: Luxury Department StoresA Social Computing Report,eBusiness & Channel Strategy,81608233.84215903,[u'Patti Freeman Evans'],544971.5518867924,499,575,286925.0
How Interactive Marketers Should Ask Users For Data,Marketing Leadership,81608235.56715488,"[u'David Truog', u'Melissa Parrish', u'James McDavid']",471123.72340425535,499,580,289420.0
Aligning Vendor Management Responsibilities To Your IT Organization's Mandate,Sourcing & Vendor Management,81608236.348773,"[u'Lutz Peichert', u'Chris Andrews']",481104.3922829582,499,580,289420.0
Service Pricing Models Are The Key To Outsourcing Flexibility,Sourcing & Vendor Management,81694637.00696301,"[u'Wolfgang Benkel', u'Chris Andrews', u'William Martorelli']",734511.6578947369,499,841,419659.0
Transform Your I&O Organization Into An Innovation Machine,Infrastructure & Operations,81694637.6380179,"[u'Jean-Pierre Garbani', u'Doug Washburn']",1019003.2824858757,499,487,243013.0
Brand Loyalty Isn't Enough For Products Anymore,Marketing Leadership,81694638.53996491,"[u'J. P. Gownder', u'James L. McQuivey, Ph.D.']",425642.68695652176,499,705,351795.0
Snapshot: Enterprises Reveal Compelling Adoption Of Message Archiving Software-As-A-Service,Security & Risk,81694639.44946694,[u'Stephanie Balaouras'],634238.0085714286,499,211,105289.0
"Market Overview: Message Archiving Software-As-A-Service, Q3 2011",Security & Risk,81694640.29617906,[u'Stephanie Balaouras'],634238.0085714286,2495,580,1447100.0
Proactive Competitive Market Intelligence Builds Competitive Advantage,Sales Enablement,81781041.0950849,"[u'Reineke Reitsma', u'Samantha Yanling Jaddou']",274548.01785714284,499,496,247504.0
CMOs Must Lead The Customer-Obsessed Revolution,CMO,81781041.73150802,"[u'David M. Cooperstein', u'Cory Munchbach']",321191.5714285714,499,568,283432.0
Consumers Reviews And Ratings: How Much Are They Worth?,Marketing Leadership,81953842.19421792,"[u'Reineke Reitsma', u'Megan Burns', u'Samantha Yanling Jaddou']",534937.7636363637,,8,
"German Online Retail Overview, 2011",eBusiness & Channel Strategy,82040242.94646692,"[u'Martin Gill', u'Patti Freeman Evans', u'Zia Daniell Wigder']",544971.5518867924,499,717,357783.0
Personal Identity Management,Customer Insights,82040243.55301309,"[u'Fatemeh Khatibloo', u'Eve Maler', u'Allison Smith']",495711.90789473685,499,792,395208.0
The Anatomy Of Business Strategy,Enterprise Architecture,82040244.12641191,[u'Alex Cullen'],526304.5814977974,499,953,475547.0
Big Data Needs More Than Just Big Storage,Infrastructure & Operations,82040245.92140508,[],0,499,1667,831833.0
Expand Your Digital Horizon With Big Data,CIO,82040246.4962399,"[u'Brian Hopkins', u'Boris Evelson', u'Sharyn Leaver', u'Alex Cullen']",1300291.125,499,2554,1274446.0
SharePoint Adoption: Content And Collaboration Is Just The Start,CIO,81089847.44724393,"[u'Rob Koplowitz', u'John R. Rymer']",976423.7570093458,499,1468,732532.0
A SharePoint Custom-Development Strategy Is More Crucial Now Than Ever,Application Development & Delivery,81089848.1158781,"[u'John R. Rymer', u'Rob Koplowitz']",976423.7570093458,499,843,420657.0
"How German Banking Customers Use Different Channels, 2011",eBusiness & Channel Strategy,82040248.60439801,[u'Benjamin Ensor'],432286.46875,2495,483,1205085.0
Marketers Need To Take Accountability For Creative Strategy,CMO,82126649.18938708,"[u'David M. Cooperstein', u'Cory Munchbach']",321191.5714285714,499,346,172654.0
Best Practices In Multichannel Financial Services Sales,eBusiness & Channel Strategy,82126649.92875409,"[u'Benjamin Ensor', u'Carrie Johnson']",432286.46875,499,1920,958080.0
Introducing Software License Optimization,Sourcing & Vendor Management,82126651.64487505,"[u'Duncan Jones', u'Liz Herbert']",650577.5357142857,499,862,430138.0
The Importance Of Evaluating Your Vendor's Training Capability: What You Need To Know,Sourcing & Vendor Management,82126652.79277492,[u'Chris Andrews'],481104.3922829582,499,234,116766.0
Case Study: USA Network Wins Over Fans Through Gamification,Marketing Leadership,82213053.6008389,"[u'Jennifer Wise', u'David Truog']",570909.9541984732,499,400,199600.0
Online Retailing In Australia 2011: Performance And Channels,eBusiness & Channel Strategy,82213054.30989599,"[u'Zia Daniell Wigder', u'Lily Varon']",540089.0857142857,499,321,160179.0
Proof Points For Mainframe Application Migration,Application Development & Delivery,82213055.0887351,[u'Phil Murphy'],529789.7339449541,499,511,254989.0
Building The Services Integration Layer In Multisourcing,Sourcing & Vendor Management,82213055.72582603,"[u'William Martorelli', u'Chris Andrews']",734511.6578947369,499,640,319360.0
"Online Retailing In Australia 2011: Marketing, Merchandising, And Customer ServiceA Social Computing Report",eBusiness & Channel Strategy,81521856.35675311,"[u'Lily Varon', u'Zia Daniell Wigder']",540089.0857142857,499,287,143213.0
Dynamic Case Management: Definitely Not Your Dad's Old-School Workflow/Imaging System,Enterprise Architecture,82213056.87815094,"[u'Craig Le Clair', u'Derek Miers']",1197000.4537815126,499,790,394210.0
The State Of MRM In 2011,Customer Insights,82213057.42101789,[],0,499,629,313871.0
